Imagem;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;CONFIGURAÇÕES;;;;;;;;;
;Salário;;;R$ 2.000,00;;;;;;
;Rendimento Carteira;;;0,60%;;;;;;
;Sugestões de Investimento(30%);;;R$ 600,00;;;;;;
;;;;;;;;;;
;Inventimento Mensal;;;;;;;;;
;Quanto investir por mês?;;;R$ 200,00;;;;;;
;Por quantos anos?;;;5;;;;;;
;Taxa de rentimento mensal?;;;1,08%;;;;;;
;Patrimônio acumulado?;;;R$ 16.755,38;;;;;;
;Dividendos mensais?;;;R$ 100,53;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Cenários;;;Dividendos;;;;;;
;Quanto  em 2 Anos?;R$ 5.445,53;;R$ 32,67;;;;;;
;Quanto  em 5 Anos?;R$ 16.755,38;;R$ 100,53;;;;;;
2;Quanto  em 10 Anos?;R$ 48.656,84;;R$ 291,94;;;;;;
5;Quanto  em 20 Anos?;R$ 225.039,68;;R$ 1.350,24;;;;;;
10;Quanto  em 30 Anos?;R$ 864.433,93;;R$ 5.186,60;;;;;;
20;;;;;;;;;;
30;;;;;;;;;;
;;;;;;;;;;
;PERFIL;;Agressivo;;;;;;;
;VALOR A SER INVESTIDO POR MÊS;;R$ 200,00;;;;;;;
;;;;;;;;;;
;TIPO DE FII;;Porcetual Sugerido ;Valores;;;;;;
;PAPEL;;50%;R$ 100,00;;;;;;
;TIJOLO;;10%;R$ 20,00;;;;;;
;HÍBRIDOS;;5%;R$ 10,00;;;;;;
;FOFs;;5%;R$ 10,00;;;;;;
;DESENVOLVIMENTO;;20%;R$ 40,00;;;;;;
;HOTELARIAS;;10%;R$ 20,00;;;;;;
;;;;R$ 200,00;;;;;;
